Reference, Value, Footprint, Datasheet
"U1","STM32F405RGTx","lib:TQFP-64_10x10mm_Pitch0.5mm","","",""
"C2","100nF","Capacitors_SMD:C_0603","","",""
"C3","100nF","Capacitors_SMD:C_0603","","",""
"C4","100nF","Capacitors_SMD:C_0603","","",""
"C5","100nF","Capacitors_SMD:C_0603","","",""
"C1","4.7uF","Capacitors_SMD:C_0603","","",""
"C6","4.7uF","Capacitors_SMD:C_0603","","",""
"C7","100nF","Capacitors_SMD:C_0603","","",""
"C15","2.2uF","Capacitors_SMD:C_0603","","",""
"C11","0.2uF","Capacitors_SMD:C_0603","","",""
"R9","10K","Resistors_SMD:R_0603","","",""
"C14","100nF","Capacitors_SMD:C_0603","","",""
"R8","10k","Resistors_SMD:R_0603","","",""
"SW1","SW_PUSH","button:SW_SPST_B3U-1000P","","",""
"C13","27pF","Capacitors_SMD:C_0603","","",""
"C12","27pF","Capacitors_SMD:C_0603","","",""
"Y1","8MHz","Crystals:Crystal_SMD_5032_4Pads","","",""
"Y2","32.768MHz","Crystals:Crystal_SMD_5032_2Pads","","",""
"C10","15pF","Capacitors_SMD:C_0603","","",""
"C8","15pF","Capacitors_SMD:C_0603","","",""
"C29","10uF/35V","Capacitors_SMD:C_1210","","",""
"C30","0.1uF","Capacitors_SMD:C_0603","","",""
"C31","4.7nF","Capacitors_SMD:C_0603","","",""
"R3","20k","Resistors_SMD:R_0603","","",""
"D2","MBRS340","w_smd_diode:do214ab","","",""
"C32","10nF","Capacitors_SMD:C_0603","","",""
"R2","7.5k-1%","Resistors_SMD:R_0603","","",""
"R1","25.5k-1%","Resistors_SMD:R_0603","","",""
"C33","22uF","Capacitors_SMD:C_0603","","",""
"L1","3.3uH-3.2A","Choke_SMD:Choke_SMD_Wuerth-WE-PD2-Typ-MS","","",""
"U3","LP2985-50DBVR","TO_SOT_Packages_SMD:SOT-23-5","","",""
"U5","SIM800C","lib:SIM800C","","",""
"C25","100uF","Capacitors_SMD:C_1210","","",""
"C26","10uF","Capacitors_SMD:C_0603","","",""
"C27","33pF","Capacitors_SMD:C_0603","","",""
"C28","10pF","Capacitors_SMD:C_0603","","",""
"D6","zener 5.1v/500mW","Diodes_SMD:SOD-123","","",""
"R25","4.7k","Resistors_SMD:R_0603","","",""
"R28","4.7k","Resistors_SMD:R_0603","","",""
"C23","100uF","Capacitors_SMD:C_1210","","",""
"R21","1K","Resistors_SMD:R_0603","","",""
"R22","1K","Resistors_SMD:R_0603","","",""
"R23","1K","Resistors_SMD:R_0603","","",""
"R27","0R","Resistors_SMD:R_0603","","",""
"ANT1","ANTENNA","w_conn_rf:coaxial_u.fl-r-smt-1","","",""
"P9","Chip anten","Pin_Headers:Pin_Header_Straight_1x01","","",""
"SW2","SW_PUSH","button:SW_SPST_B3U-1000P","","",""
"R13","10K","Resistors_SMD:R_0603","","",""
"D4","PA15_LED","LEDs:LED_0805","","",""
"D3","Led_pwr","LEDs:LED_0805","","",""
"R10","10k","Resistors_SMD:R_0603","","",""
"D7","Led_SIM","LEDs:LED_0805","","",""
"R12","560R","Resistors_SMD:R_0603","","",""
"R7","1K","Resistors_SMD:R_0603","","",""
"R6","22R","Resistors_SMD:R_0603","","",""
"R5","22R","Resistors_SMD:R_0603","","",""
"R4","DNF-1K","Resistors_SMD:R_0603","","",""
"D1","SS34","Diodes_SMD:DO-214BA","","",""
"J1","MICRO_SD_HINGE - Micro SD socket Push-Push A","lib:MicroSD_Push-Push-A","","",""
"C16","4.7uF","Capacitors_SMD:C_0603","","",""
"R15","4.7k","Resistors_SMD:R_0603","","",""
"R17","4.7k","Resistors_SMD:R_0603","","",""
"R16","10k","Resistors_SMD:R_0603","","",""
"R18","10k","Resistors_SMD:R_0603","","",""
"R11","10M","Resistors_SMD:R_0603","","",""
"R14","100k","Resistors_SMD:R_0603","","",""
"R29","10K","Resistors_SMD:R_0603","","",""
"R26","4k7","Resistors_SMD:R_0603","","",""
"R24","4k7","Resistors_SMD:R_0603","","",""
"CONN1","MICRO_USB","w_conn_pc:conn_usb_B_micro_smd-2","","",""
"U4","MMA7660","Housings_DFN_QFN:DFN-10-1EP_3x3mm_Pitch0.5mm","","",""
"C20","100nF","Capacitors_SMD:C_0603","","",""
"C21","100nF","Capacitors_SMD:C_0603","","",""
"P1","CONN_01X02","Pin_Headers:Pin_Header_Straight_1x02","","",""
"C17","22uF","Capacitors_SMD:C_0603","","",""
"C18","10uF","Capacitors_SMD:C_0603","","",""
"C19","10uF","Capacitors_SMD:C_0603","","",""
"C9","100nF","Capacitors_SMD:C_0603","","",""
"Q1","2SC1815","TO_SOT_Packages_SMD:SOT-23","","",""
"Q2","2SC1815","TO_SOT_Packages_SMD:SOT-23","","",""
"U6","SIM HOLD - PPSS-6P","lib:SIM_HOLD_115A-ADA0-R02","","",""
"P2","CONN_01X04","Pin_Headers:Pin_Header_Straight_1x04","","",""
"D5","SMF05C","TO_SOT_Packages_SMD:SC-70-6","","",""
"C22","100nF","Capacitors_SMD:C_0603","","",""
"C24","22pF","Capacitors_SMD:C_0603","","",""
"R32","22R","Resistors_SMD:R_0603","","",""
"R30","22R","Resistors_SMD:R_0603","","",""
"R31","22R","Resistors_SMD:R_0603","","",""
"P3","CONN_01X15","Pin_Headers:Pin_Header_Straight_1x15","","",""
"P4","CONN_01X17","Pin_Headers:Pin_Header_Straight_1x17","","",""
"U2","MP2365DN","SMD_Packages:SOIC-8-N","","",""
"P5","CONN_01X01","Mounting_Holes:MountingHole_2.2mm_M2_DIN965_Pad","","",""
"P6","CONN_01X01","Mounting_Holes:MountingHole_2.2mm_M2_DIN965_Pad","","",""
"P7","CONN_01X01","Mounting_Holes:MountingHole_2.2mm_M2_DIN965_Pad","","",""
"P8","CONN_01X01","Mounting_Holes:MountingHole_2.2mm_M2_DIN965_Pad","","",""
